"","total_A","total_length","real_m6A_count","real_m6A_frac","predict_0.5_m6A_count","predict_0.5_m6A_frac","predict_0.9_m6A_count","predict_0.9_m6A_frac","predict_0.95_m6A_count","predict_0.95_m6A_frac"
"exon",14265168,49205434,1828,0.000128144302261284,816101,0.057209350776661,214543,0.0150396406127148,138580,0.00971457188586913
"intron",9767051,33246104,1140,0.000116718956417858,521062,0.0533489586570194,136659,0.013991838478165,88104,0.00902053240020964
"promoter",2895908,9879279,368,0.000127075860144728,159308,0.0550114161085228,42197,0.0145712501916497,27236,0.0094049949100593
"CDS",2932922,11367467,522,0.000177979503034857,215716,0.0735498591507036,57390,0.0195675166267633,37533,0.0127971354164891
"3UTR",1300745,3872152,121,9.30236133907876e-05,65234,0.0501512594705342,16921,0.0130086988610373,10848,0.00833983601705177
"5UTR",1053207,3446323,158,0.00015001799266431,64607,0.0613431167852094,16944,0.0160880054917979,10867,0.0103180096600194
