"","total_A","total_length","real_m6A_count","real_m6A_frac","predict_0.5_m6A_count","predict_0.5_m6A_frac","predict_0.9_m6A_count","predict_0.9_m6A_frac","predict_0.95_m6A_count","predict_0.95_m6A_frac"
"exon",13789292,49205434,1826,0.000132421592058534,819004,0.0593942023999492,215768,0.0156475038747457,138802,0.0100659265174746
"intron",10008349,33246104,1161,0.000116003148970924,518828,0.0518395191854321,135905,0.0135791627570142,87086,0.00870133525519544
"promoter",2908966,9879279,416,0.00014300614032615,160646,0.055224433699122,42647,0.0146605357367532,27459,0.00943943655580711
"CDS",2418904,11367467,501,0.000207118595859943,219692,0.0908229512208835,58426,0.0241539143347566,38004,0.0157112477386453
"3UTR",1448599,3872152,182,0.000125638634294239,87017,0.0600697639581416,23054,0.0159146872253812,14764,0.0101919164654953
"5UTR",584357,3446323,85,0.000145459025903686,45070,0.0771275093821072,11956,0.0204600954553466,7689,0.0131580523549816
