"","total_A","total_length","real_m6A_count","real_m6A_frac","predict_0.5_m6A_count","predict_0.5_m6A_frac","predict_0.9_m6A_count","predict_0.9_m6A_frac","predict_0.95_m6A_count","predict_0.95_m6A_frac"
"exon",28054460,98394220,3654,0.00013024667022641,1635105,0.0582832462289418,430311,0.0153384167793641,277382,0.0098872692612868
"intron",19775400,66311410,2301,0.000116356685579053,1039890,0.0525850298856155,272564,0.0137829828979439,175190,0.00885898641746817
"promoter",2908966,19775680,784,0.00013505891773017,319954,0.055118164494182,84844,0.0146159933876256,54695,0.00942225447098421
"CDS",5351826,22875286,1023,0.00019114971226643,435408,0.0813569051011748,115816,0.0216404643947692,75537,0.0141142481089632
"3UTR",2749344,8964055,303,0.000110208107824994,152251,0.0553772099817266,39975,0.0145398320472084,25612,0.00931567675780113
"5UTR",1637564,5769418,243,0.000148391146849833,109677,0.0669757029343586,28900,0.0176481652014822,18556,0.0113314655182942
