"","total_A","total_length","real_m6A_count","real_m6A_frac","predict_0.5_m6A_count","predict_0.5_m6A_frac","predict_0.9_m6A_count","predict_0.9_m6A_frac","predict_0.95_m6A_count","predict_0.95_m6A_frac"
"exon",7451667,25594397,2697,0.000361932437399578,573043,0.0769013161752934,141462,0.0189839401036037,90253,0.0121117865304502
"intron",2825522,10228176,543,0.000192176879174892,216595,0.0766566319426994,47955,0.0169720851580699,29217,0.0103403902004656
"promoter",5487200,16844479,1048,0.000190989940224523,333465,0.0607714316955824,78926,0.0143836565096953,49855,0.00908569033386791
"CDS",4743743,16518745,1808,0.000381133632239352,377419,0.0795614349259646,94038,0.0198235865644492,60399,0.0127323508039959
"3UTR",756222,2552437,81,0.000107111403794124,158895,0.210116870442806,38815,0.0513275202255422,24438,0.0323159072335901
"5UTR",2033448,6808199,833,0.000409649029628493,42771,0.0210337318682356,10161,0.00499693132059438,6393,0.0031439210641236
