"","total_A","total_length","real_m6A_count","real_m6A_frac","predict_0.5_m6A_count","predict_0.5_m6A_frac","predict_0.9_m6A_count","predict_0.9_m6A_frac","predict_0.95_m6A_count","predict_0.95_m6A_frac"
"exon",14911102,51600369,5290,0.000354769218264351,1192230,0.0799558610758615,298674,0.0200303103016799,191493,0.0128423103805473
"intron",6971023,20610303,927,0.000132979047695008,341267,0.0489550816286218,74675,0.0107122010643201,45196,0.0064834099672315
"promoter",5633909,33665281,1885,0.0001694974844685,651019,0.0585390359900258,154658,0.0139067066063286,97597,0.00877583341733275
"CDS",9358510,33474482,3407,0.000364053679485303,802525,0.0857535013586564,202696,0.0216590034097308,130410,0.0139349105787139
"3UTR",3163711,10310557,1058,0.000334417397796449,327863,0.103632411430753,81358,0.0257160025046536,51889,0.0164013084633837
"5UTR",2541973,8361892,873,0.000343434017591847,74611,0.0293516099502237,17937,0.00705632986660362,11300,0.00444536586344544
