"","total_A","total_length","real_m6A_count","real_m6A_frac","predict_0.5_m6A_count","predict_0.5_m6A_frac","predict_0.9_m6A_count","predict_0.9_m6A_frac","predict_0.95_m6A_count","predict_0.95_m6A_frac"
"exon",7459435,25594397,2593,0.000347613458660073,619187,0.0830072250780387,157212,0.0210755908456874,101240,0.0135720734881395
"intron",4145501,10228176,384,9.26305409165261e-05,124672,0.0300740489508988,26720,0.00644554180544161,15979,0.00385454013881555
"promoter",5633909,16844479,837,0.000148564699926818,317554,0.0563647726649472,75732,0.0134421766485756,47742,0.00847404528543148
"CDS",4614767,16518745,1599,0.000346496366988843,425106,0.0921186270076041,108658,0.0235457174760936,70011,0.0151710801433745
"3UTR",2407489,2552437,977,0.000405817015155625,168968,0.0701843289834346,42543,0.0176711087776517,27451,0.0114023366254218
"5UTR",508525,6808199,40,7.8658866329089e-05,31840,0.0626124575979549,7776,0.0152912836143749,4907,0.009649476426921
